00001-00	1687.28	1.89913	-1763.8
00002-00	1687.28	1.89913	-1696.8
00003-00	1687.28	1.89913	-1629.8
00004-00	1687.28	1.89913	-1551.7
00005-00	1687.28	1.89913	-1484.7
00006-00	1687.28	1.89913	-1417.7
00007-00	1687.28	1.89913	-1339.6
00008-00	1687.28	1.89913	-1272.6
00009-00	1687.28	1.89913	-1205.6
00010-00	1687.28	1.89913	-1127.5
00011-00	1687.28	1.89913	-1060.5
00012-00	1687.28	1.89913	-993.5
00013-00	1687.28	1.89913	-915.4
00014-00	1687.28	1.89913	-848.4
00015-00	1687.28	1.89913	-781.4
00016-00	1687.28	1.89913	-703.3
00017-00	1687.28	1.89913	-636.3
00018-00	1687.28	1.89913	-569.3
00019-00	1687.28	1.89913	-491.2
00020-00	1687.28	1.89913	-424.2
00021-00	1687.28	1.89913	-357.2
00022-00	1687.28	1.89913	-279.1
00023-00	1687.28	1.89913	-212.1
00024-00	1687.28	1.89913	-145.1
00025-00	1687.28	1.89913	-67.0
00026-00	1687.28	1.89913	0.0
00027-00	1687.28	1.89913	67.0
00028-00	1687.28	1.89913	145.1
00029-00	1687.28	1.89913	212.1
00030-00	1687.28	1.89913	279.1
00031-00	1687.28	1.89913	357.2
00032-00	1687.28	1.89913	424.2
00033-00	1687.28	1.89913	491.2
00034-00	1687.28	1.89913	569.3
00035-00	1687.28	1.89913	636.3
00036-00	1687.28	1.89913	703.3
00037-00	1687.28	1.89913	781.4
00038-00	1687.28	1.89913	848.4
00039-00	1687.28	1.89913	915.4
00040-00	1687.28	1.89913	993.5
00041-00	1687.28	1.89913	1060.5
00042-00	1687.28	1.89913	1127.5
00043-00	1687.28	1.89913	1205.6
00044-00	1687.28	1.89913	1272.6
00045-00	1687.28	1.89913	1339.6
00046-00	1687.28	1.89913	1417.7
00047-00	1687.28	1.89913	1484.7
00048-00	1687.28	1.89913	1551.7
00049-00	1687.28	1.89913	1629.8
00050-00	1687.28	1.89913	1696.8
00051-00	1687.28	1.89913	1763.8
00052-00	1682.97	70.4636	-1763.8
00053-00	1682.97	70.4636	-1696.8
00054-00	1682.97	70.4636	-1629.8
00055-00	1682.97	70.4636	-1551.7
00056-00	1682.97	70.4636	-1484.7
00057-00	1682.97	70.4636	-1417.7
00058-00	1682.97	70.4636	-1339.6
00059-00	1682.97	70.4636	-1272.6
00060-00	1682.97	70.4636	-1205.6
00061-00	1682.97	70.4636	-1127.5
00062-00	1682.97	70.4636	-1060.5
00063-00	1682.97	70.4636	-993.5
00064-00	1682.97	70.4636	-915.4
00065-00	1682.97	70.4636	-848.4
00066-00	1682.97	70.4636	-781.4
00067-00	1682.97	70.4636	-703.3
00068-00	1682.97	70.4636	-636.3
00069-00	1682.97	70.4636	-569.3
00070-00	1682.97	70.4636	-491.2
00071-00	1682.97	70.4636	-424.2
00072-00	1682.97	70.4636	-357.2
00073-00	1682.97	70.4636	-279.1
00074-00	1682.97	70.4636	-212.1
00075-00	1682.97	70.4636	-145.1
00076-00	1682.97	70.4636	-67.0
00077-00	1682.97	70.4636	0.0
00078-00	1682.97	70.4636	67.0
00079-00	1682.97	70.4636	145.1
00080-00	1682.97	70.4636	212.1
00081-00	1682.97	70.4636	279.1
00082-00	1682.97	70.4636	357.2
00083-00	1682.97	70.4636	424.2
00084-00	1682.97	70.4636	491.2
00085-00	1682.97	70.4636	569.3
00086-00	1682.97	70.4636	636.3
00087-00	1682.97	70.4636	703.3
00088-00	1682.97	70.4636	781.4
00089-00	1682.97	70.4636	848.4
00090-00	1682.97	70.4636	915.4
00091-00	1682.97	70.4636	993.5
00092-00	1682.97	70.4636	1060.5
00093-00	1682.97	70.4636	1127.5
00094-00	1682.97	70.4636	1205.6
00095-00	1682.97	70.4636	1272.6
00096-00	1682.97	70.4636	1339.6
00097-00	1682.97	70.4636	1417.7
00098-00	1682.97	70.4636	1484.7
00099-00	1682.97	70.4636	1551.7
00100-00	1682.97	70.4636	1629.8
00101-00	1682.97	70.4636	1696.8
00102-00	1682.97	70.4636	1763.8
00103-00	1678.53	141.024	-1763.8
00104-00	1678.53	141.024	-1696.8
00105-00	1678.53	141.024	-1629.8
00106-00	1678.53	141.024	-1551.7
00107-00	1678.53	141.024	-1484.7
00108-00	1678.53	141.024	-1417.7
00109-00	1678.53	141.024	-1339.6
00110-00	1678.53	141.024	-1272.6
00111-00	1678.53	141.024	-1205.6
00112-00	1678.53	141.024	-1127.5
00113-00	1678.53	141.024	-1060.5
00114-00	1678.53	141.024	-993.5
00115-00	1678.53	141.024	-915.4
00116-00	1678.53	141.024	-848.4
00117-00	1678.53	141.024	-781.4
00118-00	1678.53	141.024	-703.3
00119-00	1678.53	141.024	-636.3
00120-00	1678.53	141.024	-569.3
00121-00	1678.53	141.024	-491.2
00122-00	1678.53	141.024	-424.2
00123-00	1678.53	141.024	-357.2
00124-00	1678.53	141.024	-279.1
00125-00	1678.53	141.024	-212.1
00126-00	1678.53	141.024	-145.1
00127-00	1678.53	141.024	-67.0
00128-00	1678.53	141.024	0.0
00129-00	1678.53	141.024	67.0
00130-00	1678.53	141.024	145.1
00131-00	1678.53	141.024	212.1
00132-00	1678.53	141.024	279.1
00133-00	1678.53	141.024	357.2
00134-00	1678.53	141.024	424.2
00135-00	1678.53	141.024	491.2
00136-00	1678.53	141.024	569.3
00137-00	1678.53	141.024	636.3
00138-00	1678.53	141.024	703.3
00139-00	1678.53	141.024	781.4
00140-00	1678.53	141.024	848.4
00141-00	1678.53	141.024	915.4
00142-00	1678.53	141.024	993.5
00143-00	1678.53	141.024	1060.5
00144-00	1678.53	141.024	1127.5
00145-00	1678.53	141.024	1205.6
00146-00	1678.53	141.024	1272.6
00147-00	1678.53	141.024	1339.6
00148-00	1678.53	141.024	1417.7
00149-00	1678.53	141.024	1484.7
00150-00	1678.53	141.024	1551.7
00151-00	1678.53	141.024	1629.8
00152-00	1678.53	141.024	1696.8
00153-00	1678.53	141.024	1763.8
00154-00	1674.22	209.588	-1763.8
00155-00	1674.22	209.588	-1696.8
00156-00	1674.22	209.588	-1629.8
00157-00	1674.22	209.588	-1551.7
00158-00	1674.22	209.588	-1484.7
00159-00	1674.22	209.588	-1417.7
00160-00	1674.22	209.588	-1339.6
00161-00	1674.22	209.588	-1272.6
00162-00	1674.22	209.588	-1205.6
00163-00	1674.22	209.588	-1127.5
00164-00	1674.22	209.588	-1060.5
00165-00	1674.22	209.588	-993.5
00166-00	1674.22	209.588	-915.4
00167-00	1674.22	209.588	-848.4
00168-00	1674.22	209.588	-781.4
00169-00	1674.22	209.588	-703.3
00170-00	1674.22	209.588	-636.3
00171-00	1674.22	209.588	-569.3
00172-00	1674.22	209.588	-491.2
00173-00	1674.22	209.588	-424.2
00174-00	1674.22	209.588	-357.2
00175-00	1674.22	209.588	-279.1
00176-00	1674.22	209.588	-212.1
00177-00	1674.22	209.588	-145.1
00178-00	1674.22	209.588	-67.0
00179-00	1674.22	209.588	0.0
00180-00	1674.22	209.588	67.0
00181-00	1674.22	209.588	145.1
00182-00	1674.22	209.588	212.1
00183-00	1674.22	209.588	279.1
00184-00	1674.22	209.588	357.2
00185-00	1674.22	209.588	424.2
00186-00	1674.22	209.588	491.2
00187-00	1674.22	209.588	569.3
00188-00	1674.22	209.588	636.3
00189-00	1674.22	209.588	703.3
00190-00	1674.22	209.588	781.4
00191-00	1674.22	209.588	848.4
00192-00	1674.22	209.588	915.4
00193-00	1674.22	209.588	993.5
00194-00	1674.22	209.588	1060.5
00195-00	1674.22	209.588	1127.5
00196-00	1674.22	209.588	1205.6
00197-00	1674.22	209.588	1272.6
00198-00	1674.22	209.588	1339.6
00199-00	1674.22	209.588	1417.7
00200-00	1674.22	209.588	1484.7
00201-00	1674.22	209.588	1551.7
00202-00	1674.22	209.588	1629.8
00203-00	1674.22	209.588	1696.8
00204-00	1674.22	209.588	1763.8
00205-00	1663.34	283.259	-1763.8
00206-00	1663.34	283.259	-1696.8
00207-00	1663.34	283.259	-1629.8
00208-00	1663.34	283.259	-1551.7
00209-00	1663.34	283.259	-1484.7
00210-00	1663.34	283.259	-1417.7
00211-00	1663.34	283.259	-1339.6
00212-00	1663.34	283.259	-1272.6
00213-00	1663.34	283.259	-1205.6
00214-00	1663.34	283.259	-1127.5
00215-00	1663.34	283.259	-1060.5
00216-00	1663.34	283.259	-993.5
00217-00	1663.34	283.259	-915.4
00218-00	1663.34	283.259	-848.4
00219-00	1663.34	283.259	-781.4
00220-00	1663.34	283.259	-703.3
00221-00	1663.34	283.259	-636.3
00222-00	1663.34	283.259	-569.3
00223-00	1663.34	283.259	-491.2
00224-00	1663.34	283.259	-424.2
00225-00	1663.34	283.259	-357.2
00226-00	1663.34	283.259	-279.1
00227-00	1663.34	283.259	-212.1
00228-00	1663.34	283.259	-145.1
00229-00	1663.34	283.259	-67.0
00230-00	1663.34	283.259	0.0
00231-00	1663.34	283.259	67.0
00232-00	1663.34	283.259	145.1
00233-00	1663.34	283.259	212.1
00234-00	1663.34	283.259	279.1
00235-00	1663.34	283.259	357.2
00236-00	1663.34	283.259	424.2
