00001-00	83	1687.28	1.89913	-1763.8
00002-00	83	1687.28	1.89913	-1696.8
00003-00	83	1687.28	1.89913	-1629.8
00004-00	93	1687.28	1.89913	-1551.7
00005-00	93	1687.28	1.89913	-1484.7
00006-00	93	1687.28	1.89913	-1417.7
00007-00	103	1687.28	1.89913	-1339.6
00008-00	103	1687.28	1.89913	-1272.6
00009-00	103	1687.28	1.89913	-1205.6
00010-00	113	1687.28	1.89913	-1127.5
00011-00	113	1687.28	1.89913	-1060.5
00012-00	113	1687.28	1.89913	-993.5
00013-00	123	1687.28	1.89913	-915.4
00014-00	123	1687.28	1.89913	-848.4
00015-00	123	1687.28	1.89913	-781.4
00016-00	133	1687.28	1.89913	-703.3
00017-00	133	1687.28	1.89913	-636.3
00018-00	133	1687.28	1.89913	-569.3
00019-00	143	1687.28	1.89913	-491.2
00020-00	143	1687.28	1.89913	-424.2
00021-00	143	1687.28	1.89913	-357.2
00022-00	152	1687.28	1.89913	-279.1
00023-00	152	1687.28	1.89913	-212.1
00024-00	152	1687.28	1.89913	-145.1
00025-00	161	1687.28	1.89913	-67.0
00026-00	161	1687.28	1.89913	0.0
00027-00	161	1687.28	1.89913	67.0
00028-00	170	1687.28	1.89913	145.1
00029-00	170	1687.28	1.89913	212.1
00030-00	170	1687.28	1.89913	279.1
00031-00	179	1687.28	1.89913	357.2
00032-00	179	1687.28	1.89913	424.2
00033-00	179	1687.28	1.89913	491.2
00034-00	188	1687.28	1.89913	569.3
00035-00	188	1687.28	1.89913	636.3
00036-00	188	1687.28	1.89913	703.3
00037-00	197	1687.28	1.89913	781.4
00038-00	197	1687.28	1.89913	848.4
00039-00	197	1687.28	1.89913	915.4
00040-00	206	1687.28	1.89913	993.5
00041-00	206	1687.28	1.89913	1060.5
00042-00	206	1687.28	1.89913	1127.5
00043-00	215	1687.28	1.89913	1205.6
00044-00	215	1687.28	1.89913	1272.6
00045-00	215	1687.28	1.89913	1339.6
00046-00	224	1687.28	1.89913	1417.7
00047-00	224	1687.28	1.89913	1484.7
00048-00	224	1687.28	1.89913	1551.7
00049-00	233	1687.28	1.89913	1629.8
00050-00	233	1687.28	1.89913	1696.8
00051-00	233	1687.28	1.89913	1763.8
00052-00	83	1682.97	70.4636	-1763.8
00053-00	83	1682.97	70.4636	-1696.8
00054-00	83	1682.97	70.4636	-1629.8
00055-00	93	1682.97	70.4636	-1551.7
00056-00	93	1682.97	70.4636	-1484.7
00057-00	93	1682.97	70.4636	-1417.7
00058-00	103	1682.97	70.4636	-1339.6
00059-00	103	1682.97	70.4636	-1272.6
00060-00	103	1682.97	70.4636	-1205.6
00061-00	113	1682.97	70.4636	-1127.5
00062-00	113	1682.97	70.4636	-1060.5
00063-00	113	1682.97	70.4636	-993.5
00064-00	123	1682.97	70.4636	-915.4
00065-00	123	1682.97	70.4636	-848.4
00066-00	123	1682.97	70.4636	-781.4
00067-00	133	1682.97	70.4636	-703.3
00068-00	133	1682.97	70.4636	-636.3
00069-00	133	1682.97	70.4636	-569.3
00070-00	143	1682.97	70.4636	-491.2
00071-00	143	1682.97	70.4636	-424.2
00072-00	143	1682.97	70.4636	-357.2
00073-00	152	1682.97	70.4636	-279.1
00074-00	152	1682.97	70.4636	-212.1
00075-00	152	1682.97	70.4636	-145.1
00076-00	161	1682.97	70.4636	-67.0
00077-00	161	1682.97	70.4636	0.0
00078-00	161	1682.97	70.4636	67.0
00079-00	170	1682.97	70.4636	145.1
00080-00	170	1682.97	70.4636	212.1
00081-00	170	1682.97	70.4636	279.1
00082-00	179	1682.97	70.4636	357.2
00083-00	179	1682.97	70.4636	424.2
00084-00	179	1682.97	70.4636	491.2
00085-00	188	1682.97	70.4636	569.3
00086-00	188	1682.97	70.4636	636.3
00087-00	188	1682.97	70.4636	703.3
00088-00	197	1682.97	70.4636	781.4
00089-00	197	1682.97	70.4636	848.4
