x	y	z	feature_id	residual
0.07646187746172473	0.11372499532342317	-0.23747227091280365	00606-12	0.2741767180465337
-2.242336700739088	-0.8617237770999964	-0.6021776813097404	00708-20	2.4765418848403344
-0.8278735213852997	0.13465595473655867	-0.17255195517486754	00706-14	0.8563182648942973
0.6305579693316758	1.1264693085018962	0.06003722141645085	00809-12	1.2923393221750372
1.0789727197393404	0.975409662143079	0.37747070986574727	00808-17	1.5026943387629887
1.7647148272865252	0.6222143141168317	0.21034895574985057	00452-05	1.8829805515516729
1.9487612996829284	0.7189005216921487	-0.6723443591815794	00606-20	2.183239680052199
-1.120896088846166	-0.15702679514788542	-0.8197877741897628	00708-23	1.3975397851567781
0.08549911786917619	-0.5650994713835189	-0.29238087841690685	00502-03	0.6419767050120915
1.1337805342575393	0.5286595224833945	0.3201431455634065	00452-03	1.2912903717696165
0.16497453564556963	-0.9759503882520448	0.4091098111939573	00656-17	1.071011949212493
0.7510661598594197	-0.3666376969168823	0.45197627521997674	00810-24	0.950161107732902
2.236646349113016	1.0489880066688784	0.08617851042640723	00657-07	2.471920197901835
1.6467935921482422	0.5607465061812036	1.1875569652142985	00451-03	2.1063374195422564
-0.24742881990209753	-0.7165441684329608	-0.016255190870424485	00502-02	0.7582353180007257
1.0093898207699112	-0.33962123844332837	1.1066494198219061	00655-24	1.5358656628324805
0.03496303437350434	0.1743898648223876	0.4999104838962012	00553-21	0.530607887836873
-0.9476002893302393	0.06036228021946499	0.3877646813325555	00757-18	1.02564680143848
-0.7831663203726293	-0.2587518233250421	0.6954004790659383	00553-16	1.0788344718839744
0.21535295881903949	-0.24048790930373798	-0.4611557559148878	00605-03	0.5629173674766389
1.8522642907971658	0.4743325101693472	1.5503773650693802	00451-10	2.461614167022394
1.3592835611784722	0.020494359158078623	1.26211737017843	00451-15	1.85499651604887
0.09740395601806995	0.42683720122852264	0.3515237862434333	00808-04	0.5614681640979188
-0.9930631216195707	-0.1214796265564928	0.3357633835453271	00758-01	1.0553050331155052
-0.7093746123748588	-0.07106398945916226	-0.28978233466705206	00707-09	0.7695688616133844
-0.3490418574974683	-0.8396619541269956	-0.15685169139942445	00657-20	0.9227485402798035
-0.8342078304838196	0.4014504193364701	-0.185136358931004	00757-11	0.9441083703813765
-1.328034735828851	0.366685250560181	-1.1050215120490066	00504-08	1.7661276495874982
1.226465098488461	0.45151442383689755	-0.21049226985064706	00453-12	1.323778270107934
0.8171584204262672	0.48994637655539464	-0.11618091534705854	00810-10	0.959840268515649
0.8618057400049111	0.630203013682376	0.5297025976788063	00808-24	1.191826251576729
-0.6057159928225246	-0.6540847777142744	-0.9668736838073073	00453-18	1.3151286936409006
1.2348957198430526	1.1058260606733938	0.4305035651796061	00808-19	1.7126447486222818
-1.1849041246425713	-0.8674165917949495	-0.5020038151549215	00503-22	1.5519075870509302
1.273065859186545	1.096038686634074	0.34120134215299913	00808-18	1.714180807357243
-0.7122262039238194	0.17316016445954574	0.017492806780182946	00758-21	0.7331825191590698
0.6777544699223199	0.5137777524306557	-0.16686415457434123	00810-11	0.866696225025926
-0.3306555326093985	-0.023439973861513863	-0.8190736535966607	00606-09	0.8836086031926218
0.29827607301785974	-0.24729832720333889	-0.17262057788957463	00453-15	0.4241732456007285
1.077978649438819	0.1855431750769867	0.7491827494286554	00656-01	1.3257975073536188
-1.5610641991277134	0.11381614574520427	-0.7989197149652227	00555-03	1.757312795091032
-1.27722660173049	-0.5731848243633522	0.10923154252645872	00554-23	1.4042008990636534
-1.2392390920590515	-0.3477399007033455	0.11674482842681755	00758-02	1.2923876820803122
-0.9851293353158326	0.04757285704772585	-0.24185577062439734	00555-16	1.015498497198208
-2.342096842104411	-0.9334260457858363	-1.02989987296246	00504-20	2.723489590410605
0.67085950391197	-0.5357175178908165	1.2485664169469146	00451-16	1.5152438188264514
-0.2506986796711317	-0.7770581194021133	0.05037985269677847	00604-10	0.81805090212978
1.2321584586989047	0.34581608676523956	-0.8981933832965296	00606-24	1.5635071432540852
-0.31182260942637186	-0.5426264140621697	-0.5150422830415664	00453-17	0.8105216334608903
-1.3150354020997383	-0.918567678111458	-0.5993655001175284	00503-23	1.7124028996640455
0.8401199567492768	-0.09834299132967317	-0.052433331955853646	00604-23	0.8474798758507883
-1.2085521637479815	-1.1508615580826245	-0.21617200874834452	00502-19	1.6827985606538258
-0.5859889797206961	-0.10219852234320115	0.4740110232924053	00553-02	0.7606011257722074
0.9918129148943535	0.27052095024134815	0.15846703287024866	00604-01	1.0401856772602749
-0.5191490585350493	0.12967308073882577	-0.5475760937474661	00708-01	0.7656176795828711
-2.029459701780297	-0.8303567741013467	-0.2755206911476762	00706-22	2.2100024218757452
0.5232766599538081	1.1923105108780874	-0.19915036778411377	00707-00	1.3172257536927097
1.2123847630491582	-0.3292393448789426	0.8318855957675169	00656-11	1.5067544605328218
-1.8086556893351826	-0.6339875017729355	-0.5751251935896562	00708-21	2.0009858928214244
0.12174672674655085	-0.8445281728058944	-0.2808481085726271	00657-17	0.8982904653981273
-1.1798450530122864	-0.000520944722211425	-0.2533202284885192	00504-13	1.2067335077234094
0.8969555965657037	-0.3751243861814828	0.9947073746131991	00451-20	1.3909314894805045
2.0544597434479783	0.3213751376733853	-0.19899533754028198	00554-00	2.08894374288196
-1.5605532351735292	-0.8066163151578394	-0.08399245081022855	00707-24	1.7586958268792494
-1.6710783081209684	-0.24843386556563019	-0.5983956503107493	00758-08	1.792288886241039
1.6753823890194326	-0.13514364351942731	0.8346217783616794	00656-10	1.876636210546887
1.7927210328371075	0.5126590419687318	1.4528871359186724	00451-08	2.3637997006106093
-1.246141144758667	-0.011123572326596332	0.1761246955175011	00758-17	1.2585751447144022
2.7759834612647865	0.8690491227443999	0.8644603268876381	00656-04	3.0345711742717647
-0.8030573583600926	0.091514131720146	-0.47051335361720703	00759-05	0.9352319354325394
0.8370424113472836	1.2337685030885268	-0.039873865431445665	00809-05	1.4914471639155793
0.7399537038293147	-0.19920614713589657	0.28248326918105704	00656-22	0.8167076406123963
-1.722628835609612	0.007786663759134171	-0.32565551119500924	00758-07	1.7531577936335074
0.8765255032451478	0.985314651529734	0.4832559679844053	00809-24	1.404520648104137
-0.25926795068608044	-1.0148238279392672	0.37808904457801873	00656-20	1.1135702032814034
-0.9628243464394473	-0.3254114765302347	0.43297191110696076	00554-16	1.1047117393065715
