x	y	z	feature_id	bolt_ring_radius
1582.9586022936273	553.6852444004392	1237.1948550821548	00451-01	29.965878659966236
1585.1171996777762	546.3009048658839	1236.0453809050264	00451-02	29.776685667275427
1587.408483860861	539.5432904904885	1232.9951139979905	00451-03	29.640792939809156
1590.0919902530343	533.9274885784199	1228.3610855202844	00451-04	29.698746621509354
1591.6387571943687	529.5716006397635	1222.2225893482741	00451-05	29.57349172595109
1591.981005981552	526.9030357481607	1215.1684290137302	00451-06	29.209131446135142
1592.2158169106726	526.118792205596	1207.237141679088	00451-07	28.92955758945322
1592.1393613235582	526.3894767088868	1199.7400795918636	00451-08	29.614461478915707
1591.559731677891	529.4924228656422	1192.8295546068555	00451-09	29.32654211610964
1589.6519919194957	533.6313037540158	1186.4785952857103	00451-10	29.526065990462545
1587.4556827412584	539.4815527573697	1181.576494131399	00451-11	29.597814357720765
1585.4394363287308	546.3127849162992	1178.9500221190237	00451-12	29.308277913769448
1582.6411334725613	553.2798887955273	1177.7140464727358	00451-13	29.528146748382003
1580.054529269002	560.3744306978432	1178.4977293904672	00451-14	29.686351822408774
1577.2804589596903	567.1313917806887	1181.4545603374022	00451-15	29.690027288058335
1574.553997542438	572.4007526441006	1186.1767843375878	00451-16	29.471844309546462
1572.996028732482	576.9189042985005	1192.296333437242	00451-17	29.45959479920465
1571.710726120628	579.547822984915	1199.2831330919234	00451-18	29.402912417188503
1571.5948984359663	580.6739239348633	1206.6831108202236	00451-19	29.400924117011723
1572.2331809730692	579.8414993527383	1214.7075149186683	00451-20	29.35559461173859
1572.570576399354	577.0210982303133	1221.8426753759788	00451-21	29.50786233413614
1574.7151794476977	572.7723571867365	1227.8260421420048	00451-22	29.336378141885337
1577.0387651062754	567.1734542443554	1232.562837673501	00451-23	29.35152857196599
1579.2574808386858	560.2812399307577	1235.9103259249944	00451-24	29.665093193433417
1582.09689954835	553.3524009434598	1303.0112988925894	00452-01	29.724670473038103
1584.2582159818794	546.0925173936224	1302.0528232423076	00452-02	29.7186440029503
1586.8954708029703	539.5112035067907	1299.1277001783396	00452-03	29.65565931365026
1589.5079366158645	533.8969898773872	1294.563854138938	00452-04	29.704364985989145
1591.1282835248114	529.309066373773	1288.11034895575	00452-05	29.574380474306675
1592.3349231519896	526.8771919746137	1280.8557699808357	00452-06	29.290836967000878
1592.3557692879926	525.6172651511547	1273.3370719503146	00452-07	29.478378845652166
1592.336924537387	526.7342033283163	1265.510638005034	00452-08	29.474532099490315
1590.913031788127	529.2781122697315	1258.4498006595843	00452-09	29.540722271784798
1589.9522900313427	534.0033131260329	1252.2973821642415	00452-10	29.54925204545116
1587.3527777399418	539.5155265094397	1247.67119496612	00452-11	29.540493803073332
1584.9650642435186	546.1240405079861	1244.9041265499413	00452-12	29.40763772455371
1582.5562651472983	553.5313377534387	1243.8730104515273	00452-13	29.42448142712465
1579.97222074681	560.5342901378767	1244.8871197111532	00452-14	29.401219493884422
1576.703939614734	566.9815833694453	1247.7682208802419	00452-15	29.474782061273206
1574.210286924344	572.5605168593801	1252.3309352986707	00452-16	29.562853032698186
